# gnuplot's dat file
# achieved from the files from https://www.dropbox.com/s/dzsass01d7vkn4q/Dark%20frames-20181003T144152Z-001.zip?dl=0
# file	dots count	dots area	comet count	comet area	worms count	worms area	sum count	sum area	group count	group area	groups count	exposure	date	# OBJECT	AZIMUTH	ALTITUDE
SC79282.fits	122	1568	16	568	253	3861	391	5997	102	1875	46	240.000000	2017-07-13T17:27:45.6	# dark240s	61.43697	89.73258
SC79283.fits	167	2108	22	784	232	3478	421	6370	108	2216	48	240.000000	2017-07-13T17:32:11.4	# dark240s	61.45989	89.73264
SC79284.fits	130	1572	19	670	250	3728	399	5970	101	1863	45	240.000000	2017-07-13T17:36:37.3	# dark240s	61.45989	89.73264
SC79285.fits	136	1800	16	474	230	3252	382	5526	112	2053	53	240.000000	2017-07-13T17:41:03.5	# dark240s	61.45989	89.73264
SC79286.fits	129	1590	21	750	250	3748	400	6088	110	2276	48	240.000000	2017-07-13T17:45:29.3	# dark240s	61.45989	89.73264
SC79287.fits	157	2070	14	428	244	3539	415	6037	99	1956	42	240.000000	2017-07-13T17:49:55.1	# dark240s	61.45989	89.73264
SC79288.fits	155	2050	28	1046	253	3777	436	6873	142	2811	58	240.000000	2017-07-13T17:54:21.3	# dark240s	61.45989	89.73264
SC79289.fits	148	2037	15	588	252	3697	415	6322	124	2183	56	240.000000	2017-07-13T17:58:47.1	# dark240s	61.45989	89.73264
SC79423.fits	447	4434	20	655	376	4906	843	9995	212	3206	97	300.000000	2017-07-22T18:11:28.6	# dark300s	1.93633	89.31988
SC79424.fits	138	1647	24	907	298	4142	460	6696	134	2687	58	300.000000	2017-07-22T18:16:54.9	# dark300s	1.93633	89.31988
SC79425.fits	162	2100	21	796	279	4004	462	6900	127	2308	54	300.000000	2017-07-22T18:22:20.8	# dark300s	1.93633	89.31988
SC79426.fits	177	2315	14	513	262	3713	453	6541	145	2726	68	300.000000	2017-07-22T18:27:46.7	# dark300s	1.93633	89.31988
SC79427.fits	150	2100	14	509	274	3791	438	6400	137	2417	63	300.000000	2017-07-22T18:33:12.7	# dark300s	1.93633	89.31988
SC79428.fits	179	2317	26	912	238	3333	443	6562	120	2210	55	300.000000	2017-07-22T18:38:38.5	# dark300s	1.93633	89.31988
SC79429.fits	156	1989	13	405	276	4013	445	6407	115	2156	52	300.000000	2017-07-22T18:44:04.7	# dark300s	1.93633	89.31988
SC79430.fits	164	2173	15	602	269	3934	448	6709	104	2106	47	300.000000	2017-07-22T18:49:30.7	# dark300s	1.93633	89.31988
SC79431.fits	173	2243	19	659	288	4287	480	7189	121	2341	57	300.000000	2017-07-22T18:54:56.5	# dark300s	1.93633	89.31988
SC79432.fits	183	2229	20	664	296	4161	499	7054	129	2247	57	300.000000	2017-07-22T19:00:22.4	# dark300s	1.93633	89.31988
SC79433.fits	128	1606	21	726	265	4090	414	6422	98	2086	45	300.000000	2017-07-22T19:05:48.3	# dark300s	1.93633	89.31988
SC79583.fits	152	1907	16	535	256	3693	424	6135	105	1958	48	300.000000	2017-08-01T02:54:04.7	# dark300s	39.99662	89.69098
SC79584.fits	139	1828	27	878	281	4393	447	7099	145	3050	60	300.000000	2017-08-01T02:59:30.5	# dark300s	None	None
SC79585.fits	124	1576	25	958	248	3584	397	6118	93	1926	43	300.000000	2017-08-01T03:04:56.4	# dark300s	None	None
SC79586.fits	170	2147	29	976	272	4265	471	7388	134	2569	58	300.000000	2017-08-01T03:10:22.3	# dark300s	None	None
SC79588.fits	115	1470	13	433	216	3359	344	5262	85	1720	38	240.000000	2017-08-01T03:21:16.2	# dark240s	None	None
SC79589.fits	129	1545	12	418	212	3083	353	5046	93	1632	40	240.000000	2017-08-01T03:25:42.2	# dark240s	None	None
SC79590.fits	123	1668	19	607	225	3288	367	5563	101	1766	49	240.000000	2017-08-01T03:30:08.0	# dark240s	None	None
SC79591.fits	129	1669	19	665	234	3488	382	5822	108	2002	51	240.000000	2017-08-01T03:34:34.1	# dark240s	None	None
